Year,Quarter,GDP_Growth
2016,2,2.2817
2016,3,1.9254
2016,4,1.7618
2017,1,1.785
2017,2,2.9917
2017,3,2.8233
2017,4,2.2912
2018,1,2.2176
2018,2,4.1588
2018,3,3.504
