Date,Open,High,Low,Close,Adj Close,Volume
1/1/10,10430.69043,10729.88965,10043.75,10067.33008,10067.33008,4424700000
2/1/10,10068.99023,10438.54981,9835.089844,10325.25977,10325.25977,4279660000
3/1/10,10326.09961,10955.48047,10326.09961,10856.62988,10856.62988,4388530000
4/1/10,10857.30957,11258.00977,10844.08984,11008.61035,11008.61035,4237550000
5/1/10,11009.59961,11177.66992,9774.480469,10136.62988,10136.62988,5605690000
6/1/10,10133.94043,10594.16016,9753.839844,9774.019531,9774.019531,4941680000
7/1/10,9773.269531,10584.99023,9614.320313,10465.94043,10465.94043,4243320000
8/1/10,10468.82031,10719.94043,9936.620117,10014.71973,10014.71973,4117550000
9/1/10,10016.00977,10948.87988,10016.00977,10788.04981,10788.04981,3764970000
10/1/10,10789.71973,11247.59961,10711.12012,11118.49023,11118.49023,3787250000
11/1/10,11120.29981,11451.53027,10929.28027,11006.01953,11006.01953,3808130000
12/1/10,11007.23047,11625,11007.23047,11577.50977,11577.50977,3252900000
1/1/11,11577.42969,12020.51953,11573.87012,11891.92969,11891.92969,3681720000
2/1/11,11892.5,12391.29004,11892.5,12226.33984,12226.33984,3220480000
3/1/11,12226.49023,12383.45996,11555.48047,12319.73047,12319.73047,3851830000
4/1/11,12321.01953,12832.83008,12093.88965,12810.54004,12810.54004,3321090000
5/1/11,12810.16016,12876,12309.51953,12569.79004,12569.79004,3578020000
6/1/11,12569.41016,12569.49023,11862.53027,12414.33984,12414.33984,3876460000
7/1/11,12414.33984,12753.88965,12083.4502,12143.24023,12143.24023,3092480000
8/1/11,12144.21973,12282.41992,10604.07031,11613.53027,11613.53027,6203230000
9/1/11,11613.29981,11716.83984,10597.13965,10913.37988,10913.37988,4396520000
10/1/11,10912.09961,12284.30957,10404.49023,11955.00977,11955.00977,3907730000
11/1/11,11951.53027,12187.50977,11231.42969,12045.67969,12045.67969,3263110000
12/1/11,12046.20996,12328.46973,11735.19043,12217.55957,12217.55957,3071480000
1/1/12,12221.19043,12841.9502,12221.19043,12632.91016,12632.91016,2981080000
2/1/12,12632.75977,13055.75,12632.75977,12952.07031,12952.07031,2712170000
3/1/12,12952.29004,13289.08008,12734.86035,13212.04004,13212.04004,3203390000
4/1/12,13211.36035,13297.11035,12710.55957,13213.62988,13213.62988,2574900000
5/1/12,13214.16016,13338.66016,12311.55957,12393.4502,12393.4502,3050000000
6/1/12,12391.55957,12898.94043,12035.08984,12880.08984,12880.08984,2923670000
7/1/12,12879.70996,13128.63965,12492.25,13008.67969,13008.67969,2578110000
8/1/12,13007.46973,13330.75977,12778.90039,13090.83984,13090.83984,2267280000
9/1/12,13092.15039,13653.24023,12977.08984,13437.12988,13437.12988,2701270000
10/1/12,13437.66016,13661.87012,13017.37012,13096.45996,13096.45996,2472600000
